store_id,sales_sum,sales_mean,total_ad_spend_mean,website_visits_mean,unique_lead_count_mean,ctr_clean_mean,conversion_rate_mean,roas_mean,search_spend_ratio_mean,social_spend_ratio_mean,display_spend_ratio_mean,video_spend_ratio_mean,pmax_spend_ratio_mean,month_nunique,ad_months_active,ad_active_ratio,spent_any,avg_ad_spend_active_only,search_avg_spend_active_only,social_avg_spend_active_only,display_avg_spend_active_only,video_avg_spend_active_only,pmax_avg_spend_active_only
00033435-6a15-49e5-a1a1-cb5350c0cfc1,424.0,17.666666666666668,2349.7262499999997,10214.916666666666,15.916666666666666,0.014412844410878834,0.0016396868195228875,0.011928903073539296,0.2240023052123518,0.12860494798711175,0.08871763043807294,0.01043634112397166,0.04657650715178053,24,15,0.625,1,3759.5619999999994,2038.988,353.12666666666667,326.5193346666667,107.04866666666666,354.7479997333333
0012401c-75c8-4e5b-87ca-c51172b14637,352.0,14.666666666666666,718.4604165833333,12421.375,19.625,0.008916021858249792,0.001679131585704671,0.8403367174362736,0.0,0.25059486016968463,0.09014280919030253,0.026469061185366637,0.1293482210196677,24,14,0.5833333333333334,1,1231.6464284285717,0.0,319.4707141428571,36.28357142857143,17.042142857142856,854.1335715714285
001edcd2-e886-4e7d-b3bf-1f2244e0e790,646.0,26.916666666666668,4093.030416666667,11737.666666666666,31.0,0.014959898749953654,0.0026931729780852918,0.003912165929822304,0.2685403971118449,0.2277512931888538,0.0011356179828234374,0.0,0.14891557701443828,24,16,0.6666666666666666,1,6139.545625000001,2441.7768749999996,2361.464375,9.3975,0.0,1166.1787625
0062a118-fadc-4e33-b3b1-08a42bb25e67,96.0,4.0,168.17875,4057.2083333333335,5.541666666666667,0.0035685981279953544,0.0014156382661887374,0.006436860441666633,0.0,0.25,0.041666666666666664,0.0,0.0,24,7,0.2916666666666667,1,576.6128571428571,0.0,566.6428571428571,9.97,0.0,0.0
00a3403e-0779-4fe5-88f6-dee69ebf8101,103.0,4.291666666666667,521.16375,2589.9166666666665,5.708333333333333,0.0020504419806290836,0.004699991252572054,0.002400528054056029,0.0,0.0,0.04214565808994248,0.11717680483273524,0.09067753658950027,24,6,0.25,1,2084.655,0.0,0.0,533.3566616666666,458.77,1092.5283333333334
00b6723d-5847-4811-85f2-9511be89b328,250.0,10.416666666666666,388.25666666666666,5707.583333333333,32.416666666666664,0.006258726700485255,0.006071644704939454,0.21479306049929062,0.0,0.26742782065287424,0.041666666666666664,0.0,0.09118290292539494,24,12,0.5,1,776.5133333333333,0.0,527.365,7.9675,0.0,124.835
00f8f157-b944-4395-846e-719ab0f60fd8,847.0,35.291666666666664,4456.9279166666665,17278.583333333332,45.541666666666664,0.023030476255098714,0.0026983723836426954,0.004204482697772838,0.48362236592057667,0.058335895700585276,0.0023950359896000085,0.00447320100206245,0.11519402173789199,24,16,0.6666666666666666,1,6685.391875,4829.9525,628.401875,19.20875,43.97249975,1135.15125
01028f18-dbc3-4b37-bcfa-7eb7d964db72,421.0,17.541666666666668,734.0204208333333,15083.5,21.75,0.0034749356126094707,0.0016618412616518502,0.12840272293804397,0.0,0.4501284221389759,0.0,0.0,0.0,24,12,0.5,1,1468.0408416666667,0.0,1426.9225083333333,0.0,0.0,0.0
014cc524-d9a8-4e54-8969-b4247e003670,560.0,23.333333333333332,1799.6850000000002,13355.583333333334,42.291666666666664,0.020786023660095986,0.003158891989289342,0.013161206392738607,0.18753951010446215,0.21990085717460792,0.0,0.04898619582469185,0.16796607030292546,24,15,0.625,1,2879.496,827.3693446666667,1007.1486666666667,0.0,248.709333,792.2519979999998
01555a1c-5b93-4717-b3df-842c96d7b520,1077.0,44.875,6154.822941666666,28923.5,92.79166666666667,0.029150019589702227,0.003277100262535046,0.004180749965631246,0.37296249664156456,0.020255888054795806,0.0012538585247904791,0.0,0.08290335282376815,24,16,0.6666666666666666,1,9232.2344125,5010.09310625,370.975,14.509375,0.0,1301.17125
018598b6-9056-404f-9b14-11de251b9c78,274.0,11.416666666666666,3192.337079166666,21404.083333333332,13.958333333333334,0.006950821324770755,0.0007456103704609791,0.014179620261323586,0.20265687492198858,0.2634591694267909,0.03105050116493588,0.0,0.07529059391449096,24,16,0.6666666666666666,1,4788.5056187499995,1621.0575,1173.8893875,388.446876875,0.0,426.021875
018e2471-f1a1-4ac6-80b2-df6895385b98,1036.0,43.166666666666664,2147.9874999999997,45824.333333333336,87.04166666666667,0.011506242914133179,0.002035922971661121,0.024419406827387375,0.0,0.4507207061208088,0.024274256082194436,0.0,0.14733691631037155,24,15,0.625,1,3436.7799999999997,0.0,2551.3106666666667,13.356666666666666,0.0,850.9993333333333
01955bc0-09f9-4e54-9c8e-dea26e4f2bbe,265.0,11.041666666666666,2103.54875,5378.75,4.625,0.01444017986381449,0.0009070895659241207,0.002724407641200429,0.38267450045547075,0.11868904390844048,0.0029747382526993083,0.0,0.16232838455983362,24,16,0.6666666666666666,1,3155.323125,1826.15,609.41,14.54,0.0,705.2231268749999
019e4056-3096-4e6f-a823-3c28ca2e4a9d,11.0,0.4583333333333333,4.637916583333333,211.95833333333334,0.5416666666666666,0.0036762317737596083,0.0027314805100486002,0.003605592111499046,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,24,3,0.125,1,37.10333266666667,0.0,9.200000000000001,27.903332666666667,0.0,0.0
01a79a79-f1e1-4708-b064-2499bef67a4a,82.0,3.4166666666666665,162.72166666666666,7792.916666666667,5.375,0.003356639948705916,0.0008558647593532434,0.004604920737103167,0.0,0.3333333333333333,0.0,0.0,0.0,24,8,0.3333333333333333,1,488.165,0.0,488.165,0.0,0.0,0.0
020665b1-1535-4def-a9c6-87aeb4e660f6,151.0,6.291666666666667,247.61208341666665,3821.0416666666665,8.583333333333334,0.012846077467797383,0.0022395760951628915,0.009316617944739541,0.0,0.08333333333333333,0.0,0.0,0.2916666666666667,24,9,0.375,1,660.2988891111112,0.0,27.741111111111113,0.0,0.0,632.557778
0251eb94-97b2-4b5a-96ca-337af153e5e8,150.0,6.25,780.9245833333334,4264.125,11.041666666666666,0.00656620070269745,0.0029036482148203624,0.04253671054840542,0.0,0.29909889513654114,0.23353692329392098,0.0,0.0,24,14,0.5833333333333334,1,1338.7278571428571,0.0,947.9357142857142,67.565,0.0,0.0
028bebe2-61a2-4a60-81a9-b8ef86987336,1099.0,45.791666666666664,4571.6033333333335,14558.291666666666,38.25,0.009692676677392443,0.0026820742727037914,0.0057946334910170955,0.6553244485122778,0.01049649218298311,0.0,0.0,0.0,24,16,0.6666666666666666,1,6857.405,6758.3975,90.85875,0.0,0.0,0.0
0292c5a9-fece-4428-8464-f3e9e83540cc,984.0,41.0,1444.8704175,44575.416666666664,121.45833333333333,0.014787599771657256,0.002798158389576371,0.059381063690332365,0.0,0.14434182066345955,0.016296155660648737,0.0,0.2969550711500207,24,15,0.625,1,2311.792668,0.0,100.28933333333335,15.106666666666666,0.0,1473.5906666666667
02a0659c-2fab-4ffb-8c16-1b9c31eaad7e,135.0,5.625,89.79916666666666,7995.5,15.166666666666666,0.005223476237632608,0.001965163692296133,0.028256373984914096,0.0,0.07552490551951864,0.35859821932156954,0.0,0.02421020948544368,24,11,0.4583333333333333,1,195.92545454545453,0.0,35.58181818181818,149.26363636363635,0.0,11.080000454545454
