StoreId,ItemId,n_months,zero_share,mean_units,std_units,ADI,ACF12,seasonal_strength,cv_units,pattern_label,demand_class
004732eb-a06c-4738-a10f-a64009cce8fe,eabaaf99-d080-4833-9910-9371f90e0cc7,22,0.6363636363636364,0.45454545454545453,0.6709817063202618,3.0,-0.21416083916083914,,1.4761597539045759,intermittent,active
004732eb-a06c-4738-a10f-a64009cce8fe,eb704803-8835-40a5-bd47-f5e4519d7f41,10,0.7,0.3,0.48304589153964794,4.5,,,1.6101529717988265,intermittent,sparse
004732eb-a06c-4738-a10f-a64009cce8fe,f2cb3504-67cd-4a40-ad27-18d7a6b573b3,18,0.7777777777777778,0.2222222222222222,0.42779263194649864,5.666666666666667,-0.047619047619047575,,1.925066843759244,intermittent,sparse
004732eb-a06c-4738-a10f-a64009cce8fe,f7da4650-ab40-4348-a6c4-62788cfc6274,6,0.3333333333333333,1.0,0.8944271909999159,1.6666666666666667,,,0.8944271909999159,regular,active
004732eb-a06c-4738-a10f-a64009cce8fe,f9c7a0d1-c07f-4d69-b189-8f15672c9cbd,23,0.30434782608695654,1.3478260869565217,1.0706283478819987,1.4666666666666666,-0.16274362818590704,,0.7943371613318054,regular,active
004732eb-a06c-4738-a10f-a64009cce8fe,f9d7af64-1e9a-4a47-8256-0692e501d714,24,0.7083333333333334,0.375,0.6468989572333266,3.8333333333333335,-0.07142857142857148,0.1851842833640771,1.7250638859555376,intermittent,sparse
004732eb-a06c-4738-a10f-a64009cce8fe,fde83c16-02b3-45e2-9d39-f5e99ab0e0ac,21,0.7619047619047619,0.2857142857142857,0.5606119105813882,5.0,0.0941558441558441,,1.9621416870348587,intermittent,sparse
0093e532-b691-4ef4-a523-05fdc76563cb,d2c904c3-b542-4ee1-a473-ae563bb19064,12,0.75,0.3333333333333333,0.6513389472789296,5.5,,,1.954016841836789,intermittent,sparse
0093e532-b691-4ef4-a523-05fdc76563cb,eabaaf99-d080-4833-9910-9371f90e0cc7,10,0.7,0.3,0.48304589153964794,4.5,,,1.6101529717988265,intermittent,sparse
0093e532-b691-4ef4-a523-05fdc76563cb,eb704803-8835-40a5-bd47-f5e4519d7f41,10,0.8,0.2,0.42163702135578396,9.0,,,2.1081851067789197,intermittent,sparse
00e0cf67-4c07-4420-9ed5-063c65c08c0b,06a74f8a-7164-4158-bafa-73bf266a249a,13,0.8461538461538461,0.15384615384615385,0.3755338080994054,12.0,0.4230769230769232,,2.440969752646135,intermittent,sparse
00e0cf67-4c07-4420-9ed5-063c65c08c0b,259d93cd-efb9-455c-836c-799d07fddb5d,6,0.6666666666666666,0.5,0.8366600265340756,5.0,,,1.6733200530681511,intermittent,active
00e0cf67-4c07-4420-9ed5-063c65c08c0b,27dde2cf-93c9-4b0e-aa5e-da806584e283,24,0.625,0.4166666666666667,0.5835920751217648,2.875,-0.01063829787234047,0.3366071251492929,1.4006209802922356,intermittent,active
00e0cf67-4c07-4420-9ed5-063c65c08c0b,3289436a-4880-45c5-9c21-41894163f610,18,0.6111111111111112,0.3888888888888889,0.5016313257045503,2.8333333333333335,0.1341991341991342,,1.2899091232402722,intermittent,sparse
00e0cf67-4c07-4420-9ed5-063c65c08c0b,3418a3c7-21d2-4529-840c-9891f3cf6a27,6,0.6666666666666666,0.3333333333333333,0.5163977794943223,5.0,,,1.549193338482967,intermittent,sparse
00e0cf67-4c07-4420-9ed5-063c65c08c0b,3e8bbedd-bf03-40e0-ae87-086bde4515f5,11,0.7272727272727273,0.2727272727272727,0.46709936649691375,5.0,,,1.7126976771553506,intermittent,sparse
00e0cf67-4c07-4420-9ed5-063c65c08c0b,4f90622a-a55c-4047-a68c-05ac205518d3,22,0.36363636363636365,1.5909090909090908,1.6806770435379086,1.6153846153846154,0.1753396029258098,,1.0564255702238283,regular,active
00e0cf67-4c07-4420-9ed5-063c65c08c0b,5ed7fdb4-3afe-40b1-93e9-1cb0a3d71f11,20,0.65,0.55,0.9445132413883326,3.1666666666666665,-0.08436578171091445,,1.717296802524241,intermittent,active
00e0cf67-4c07-4420-9ed5-063c65c08c0b,89dfbc8d-f16a-4176-ad0a-e490baacbcdd,15,0.4666666666666667,0.8,1.01418510567422,2.0,0.03611111111111114,,1.267731382092775,regular,active
