feature,pc1_loading,pc2_loading
ad_active_ratio,0.6077104409433391,-0.316334402287177
ad_months_active,0.607710440943339,-0.3163344022871787
search_spend_ratio_mean,0.4171480129564458,0.833505003010986
total_ad_spend_mean,0.1675009719858718,0.057477524781379616
avg_ad_spend_active_only,0.15673396615606036,0.08303728493469856
website_visits_mean,0.11219188121889133,-0.0005413318279429407
sales_mean,0.10816369779244521,-0.04987342100100259
roas_mean,-0.08756037233961776,-0.08299520807232141
social_spend_ratio_mean,-0.0487342551260056,-0.2833304906305228
conversion_rate_mean,0.020327648699846153,-0.07268853158629976
spent_any,5.196603640727385e-15,-2.3525829028081967e-14
